SampleID,species,d13C,d15N
SFFFBKCA1,ff_chicken,-17.5,2.5
SFFFBKCA2,ff_chicken,-17.1,2.4
SFFFBKCA3,ff_chicken,-17.4,2.4
SFFFBKCB1,ff_chicken,-17.1,2.3
SFFFBKCB2,ff_chicken,-16.8,2.2
SFFFBKCB3,ff_chicken,-16.9,2.2
SFFFBKCC1,ff_chicken,-16.6,2.8
SFFFBKCC2,ff_chicken,-16.7,2.8
SFFFBKCC3,ff_chicken,-16.8,2.7
SFFFMDCA1,ff_chicken,-17.6,2.7
SFFFMDCA2,ff_chicken,-17.6,2.7
SFFFMDCA3,ff_chicken,-17.6,2.6
SFFFMDCB1,ff_chicken,-17.5,2.4
SFFFMDCB2,ff_chicken,-17.5,2.4
SFFFMDCB3,ff_chicken,-17.3,2.4
SFFFMDCC1,ff_chicken,-17.4,2.5
SFFFMDCC2,ff_chicken,-17.5,2.6
SFFFMDCC3,ff_chicken,-17.4,2.6
SFFFWECA1,ff_chicken,-17.7,2
SFFFWECA2,ff_chicken,-17.7,2
SFFFWECA3,ff_chicken,-17.6,1.9
SFFFWECB1,ff_chicken,-17,2.2
SFFFWECB2,ff_chicken,-16.8,2.1
SFFFWECB3,ff_chicken,-17,2.3
SFFFWECC1,ff_chicken,-17.3,2
SFFFWECC2,ff_chicken,-17.2,2
SFFFWECC3,ff_chicken,-17.4,2
SFFFBKBA1,ff_beef,-21.5,6.6
SFFFBKBA2,ff_beef,-21.8,6.4
SFFFBKBA3,ff_beef,-21.7,6.8
SFFFBKBB1,ff_beef,-23.3,6.4
SFFFBKBB2,ff_beef,-23.6,6.5
SFFFBKBB3,ff_beef,-23.4,6.5
SFFFBKBC1,ff_beef,-22,6.8
SFFFBKBC2,ff_beef,-21.5,6.6
SFFFBKBC3,ff_beef,-21.9,6.4
SFFFMDBA1,ff_beef,-21.3,6.5
SFFFMDBA2,ff_beef,-21.5,6.1
SFFFMDBA3,ff_beef,-21.7,5.8
SFFFMDBB1,ff_beef,-19.4,6
SFFFMDBB2,ff_beef,-19.8,5.9
SFFFMDBB3,ff_beef,-19.6,5.9
SFFFMDBC1,ff_beef,-19.9,6.1
SFFFMDBC2,ff_beef,-20.3,6.3
SFFFMDBC3,ff_beef,-19.9,5.9
SFFFWEBA1,ff_beef,-15,5.8
SFFFWEBA2,ff_beef,-15.6,5.7
SFFFWEBA3,ff_beef,-14.8,5.7
SFFFWEBB1,ff_beef,-15.5,6
SFFFWEBB2,ff_beef,-15.6,6
SFFFWEBB3,ff_beef,-15.4,6
SFFFWEBC1,ff_beef,-15.1,5.8
SFFFWEBC2,ff_beef,-15.1,5.8
SFFFWEBC3,ff_beef,-15.2,5.8
